KeyConsult,KeyMedecin,KeyPatient,NamePatient,FirstNamePatient,NumSecu,Age,Weight,Temperature,Tension,Diabete,Pathology,KeyTreatment
KeyConsult40960,keyMedecin1,KeyPatient54845,Name54845,FistName54845,NS40961,35.0,75.60884672947726,40.35116993004344,81.78408535541165,1,Pathology97,KeyTreatment40960
KeyConsult40961,keyMedecin6,KeyPatient68562,Name68562,FistName68562,NS40962,17.0,58.05628632429171,37.50625152780411,127.65638108628721,0,Pathology38,KeyTreatment40961
KeyConsult40962,keyMedecin26,KeyPatient75663,Name75663,FistName75663,NS40963,14.0,60.20662901416598,37.544771350564176,132.42563950504157,0,Pathology53,KeyTreatment40962
KeyConsult40963,keyMedecin12,KeyPatient35940,Name35940,FistName35940,NS40964,20.0,57.69170125923414,37.521070822127,119.01458642536429,0,Pathology41,KeyTreatment40963
KeyConsult40964,keyMedecin19,KeyPatient73136,Name73136,FistName73136,NS40965,40.0,84.5075951558823,38.40949341015697,120.37633701823835,0,Pathology66,KeyTreatment40964
KeyConsult40965,keyMedecin6,KeyPatient75805,Name75805,FistName75805,NS40966,17.0,64.72940478458932,37.41727693772188,72.0838256067218,1,Pathology37,KeyTreatment40965
KeyConsult40966,keyMedecin26,KeyPatient26763,Name26763,FistName26763,NS40967,16.0,62.310671907003986,37.70127660376988,123.71508745022372,0,Pathology46,KeyTreatment40966
KeyConsult40967,keyMedecin15,KeyPatient94936,Name94936,FistName94936,NS40968,21.0,64.02324014905521,37.60478727412246,87.91661875539444,0,Pathology10,KeyTreatment40967
KeyConsult40968,keyMedecin6,KeyPatient70533,Name70533,FistName70533,NS40969,14.0,61.36358700546396,37.420777686991244,106.32062180734371,0,Pathology42,KeyTreatment40968
KeyConsult40969,keyMedecin10,KeyPatient98138,Name98138,FistName98138,NS40970,76.0,68.79365473094923,40.06192435526244,112.00763832186954,1,Pathology79,KeyTreatment40969
KeyConsult40970,keyMedecin20,KeyPatient96362,Name96362,FistName96362,NS40971,11.0,61.66332554855232,37.54352967826634,92.8937310805329,0,Pathology21,KeyTreatment40970
KeyConsult40971,keyMedecin26,KeyPatient45410,Name45410,FistName45410,NS40972,24.0,60.77615196473772,37.47316708224028,110.8246584126718,0,Pathology6,KeyTreatment40971
KeyConsult40972,keyMedecin28,KeyPatient21984,Name21984,FistName21984,NS40973,24.0,60.39754726097796,37.52562335304619,85.82157305308941,0,Pathology10,KeyTreatment40972
KeyConsult40973,keyMedecin25,KeyPatient46149,Name46149,FistName46149,NS40974,55.0,82.5657820425435,38.18242193549277,91.22287079650982,1,Pathology86,KeyTreatment40973
KeyConsult40974,keyMedecin4,KeyPatient81120,Name81120,FistName81120,NS40975,54.0,79.70795577851062,37.90524407182639,89.69332575078428,1,Pathology90,KeyTreatment40974
KeyConsult40975,keyMedecin5,KeyPatient1477,Name1477,FistName1477,NS40976,24.0,59.8012477384371,37.437076194024144,107.34950011954707,1,Pathology52,KeyTreatment40975
KeyConsult40976,keyMedecin13,KeyPatient32519,Name32519,FistName32519,NS40977,25.0,61.45259380714219,37.40560402080489,108.58538899738927,0,Pathology19,KeyTreatment40976
KeyConsult40977,keyMedecin27,KeyPatient75416,Name75416,FistName75416,NS40978,18.0,58.430303613894054,37.48346923546219,63.37103806232237,0,Pathology56,KeyTreatment40977
KeyConsult40978,keyMedecin14,KeyPatient64754,Name64754,FistName64754,NS40979,45.0,81.47121464291592,37.97094332174364,90.47157293726289,1,Pathology87,KeyTreatment40978
KeyConsult40979,keyMedecin28,KeyPatient36488,Name36488,FistName36488,NS40980,63.0,78.19399926336047,38.059925006834945,90.4415832074286,1,Pathology83,KeyTreatment40979
KeyConsult40980,keyMedecin9,KeyPatient83045,Name83045,FistName83045,NS40981,10.0,64.26177815683877,37.46238124133828,136.27633381896402,1,Pathology21,KeyTreatment40980
KeyConsult40981,keyMedecin4,KeyPatient54517,Name54517,FistName54517,NS40982,19.0,62.96535986977131,37.6194267063079,139.11893605745203,0,Pathology51,KeyTreatment40981
