KeyConsult,KeyMedecin,KeyPatient,NamePatient,FirstNamePatient,NumSecu,Age,Weight,Temperature,Tension,Diabete,Pathology,KeyTreatment
KeyConsult45056,keyMedecin5,KeyPatient38017,Name38017,FistName38017,NS45057,20.0,59.79308073160008,37.56981386307886,79.76860765451696,0,Pathology27,KeyTreatment45056
KeyConsult45057,keyMedecin23,KeyPatient75131,Name75131,FistName75131,NS45058,15.0,61.467987016139254,37.565550636587425,164.78151824294875,0,Pathology57,KeyTreatment45057
KeyConsult45058,keyMedecin10,KeyPatient27733,Name27733,FistName27733,NS45059,18.0,59.42128540609189,37.481894185240726,124.36385295193881,0,Pathology60,KeyTreatment45058
KeyConsult45059,keyMedecin15,KeyPatient76784,Name76784,FistName76784,NS45060,20.0,57.97472255974268,37.53716746887494,98.88102903030334,0,Pathology30,KeyTreatment45059
KeyConsult45060,keyMedecin29,KeyPatient10645,Name10645,FistName10645,NS45061,42.0,71.27358753191324,40.3790717818479,80.79900207017037,1,Pathology99,KeyTreatment45060
KeyConsult45061,keyMedecin10,KeyPatient56363,Name56363,FistName56363,NS45062,53.0,83.14330872462497,40.42202788895592,82.98398376448563,0,Pathology93,KeyTreatment45061
KeyConsult45062,keyMedecin2,KeyPatient71034,Name71034,FistName71034,NS45063,45.0,77.2497153250568,38.54812886423462,114.14253857080165,0,Pathology64,KeyTreatment45062
KeyConsult45063,keyMedecin26,KeyPatient59556,Name59556,FistName59556,NS45064,23.0,62.57038152609734,37.40548571588751,114.34904197801895,0,Pathology21,KeyTreatment45063
KeyConsult45064,keyMedecin16,KeyPatient35807,Name35807,FistName35807,NS45065,19.0,59.419533358817006,37.56665596514405,140.38692153268863,0,Pathology16,KeyTreatment45064
KeyConsult45065,keyMedecin9,KeyPatient59826,Name59826,FistName59826,NS45066,29.0,70.49953899651929,40.58713495949064,78.96757579119011,1,Pathology94,KeyTreatment45065
KeyConsult45066,keyMedecin18,KeyPatient18622,Name18622,FistName18622,NS45067,48.0,76.12341457856955,40.685395031393135,77.91859749575495,0,Pathology94,KeyTreatment45066
KeyConsult45067,keyMedecin10,KeyPatient38724,Name38724,FistName38724,NS45068,37.0,78.90738565701572,38.321718049587645,115.98314375578057,1,Pathology65,KeyTreatment45067
