KeyConsult,KeyPatient,Name,FirstName,NumSecu,Date_In,Pathology,KeyChambre,ChambreNumber,Date_Out
KeyConsult0,KeyPatient56980,Name56980,FistName56980,NS00001,2023-01-01T00:00:00.000+01:00,Pathology49,NULL,NULL,2023-01-01T00:00:00.000+01:00
KeyConsult1,KeyPatient93099,Name93099,FistName93099,NS00002,2023-01-01T00:00:00.000+01:00,Pathology62,KeyChambre101,C101,2023-01-03T00:00:00.000+01:00
KeyConsult2,KeyPatient89575,Name89575,FistName89575,NS00003,2023-01-01T00:00:00.000+01:00,Pathology10,KeyChambre103,C103,2023-01-02T00:00:00.000+01:00
KeyConsult3,KeyPatient43225,Name43225,FistName43225,NS00004,2023-01-01T00:00:00.000+01:00,Pathology44,KeyChambre10,C010,2023-01-03T00:00:00.000+01:00
KeyConsult4,KeyPatient67704,Name67704,FistName67704,NS00005,2023-01-01T00:00:00.000+01:00,Pathology89,KeyChambre83,C083,2023-01-15T00:00:00.000+01:00
KeyConsult5,KeyPatient5825,Name5825,FistName5825,NS00006,2023-01-01T00:00:00.000+01:00,Pathology18,NULL,NULL,2023-01-01T00:00:00.000+01:00
KeyConsult6,KeyPatient57600,Name57600,FistName57600,NS00007,2023-01-01T00:00:00.000+01:00,Pathology25,KeyChambre41,C041,2023-01-02T00:00:00.000+01:00
KeyConsult7,KeyPatient53634,Name53634,FistName53634,NS00008,2023-01-01T00:00:00.000+01:00,Pathology83,KeyChambre85,C085,2023-01-08T00:00:00.000+01:00
KeyConsult8,KeyPatient99139,Name99139,FistName99139,NS00009,2023-01-01T00:00:00.000+01:00,Pathology65,KeyChambre1,C001,2023-01-08T00:00:00.000+01:00
KeyConsult9,KeyPatient21881,Name21881,FistName21881,NS00010,2023-01-01T00:00:00.000+01:00,Pathology78,KeyChambre60,C060,2023-01-06T00:00:00.000+01:00
